asset,range,pred_WTURPower
A001,3600,0.22143223161657238
A001,4200,0.19735485210536427
A001,4800,0.1806399057586335
A001,5400,0.17033738730153436
A001,6000,0.1654972914592212
A001,6600,0.16516961295684857
A001,7200,0.16840434651957056
A001,7800,0.17425148687254174
A001,8400,0.18176102874091649
A001,9000,0.1899829668498491
A001,9600,0.197967295924494
A001,10200,0.20476401069000555
A001,10800,0.20942310587153806
A001,11400,0.21123795827376893
A001,12000,0.2104754730194673
A001,12600,0.2076459373109253
A001,13200,0.20325963835043495
A001,13800,0.19782686334028843
A001,14400,0.1918578994827779
A001,15000,0.18578742589680444
A001,15600,0.17974768936770585
A001,16200,0.17379532859742883
A001,16800,0.16798698228792028
A001,17400,0.16237928914112687
A001,18000,0.1570288878589955
A001,18600,0.15198131802201284
A001,19200,0.14723772272482583
A001,19800,0.14278814594062123
A001,20400,0.13862263164258576
A001,21000,0.13473122380390623
A001,21600,0.13110396639776947
A001,22200,0.12773090339736226
A001,22800,0.12460207877587144
A001,23400,0.12170753650648378
A001,24000,0.11903732056238601
A001,24600,0.11658147491676503
A001,25200,0.11433004354280753
A001,25800,0.11227307041370038
A001,26400,0.11040059950263036
A001,27000,0.10870267478278427
A001,27600,0.10716934022734888
A001,28200,0.10579063980951098
A001,28800,0.10455661750245743
A001,29400,0.10345731727937492
A001,30000,0.10248278311345037
A001,30600,0.10162305897787047
A001,31200,0.10086818884582205
A001,31800,0.10020821669049192
A001,32400,0.09963318648506685
A001,33000,0.09913314220273366
A001,33600,0.09869812781667914
A001,34200,0.09831818730009009
A001,34800,0.0979833646261533
A001,35400,0.09768370376805555
A001,36000,0.09740924869898361
A001,36600,0.09715004339212437
A001,37200,0.09689613182066453
A001,37800,0.09663755795779091
A001,38400,0.09636436577669034
A001,39000,0.0960665992505496
A001,39600,0.09573430235255548
A001,40200,0.09535751905589475
A001,40800,0.09492629333375423
A001,41400,0.09443066915932072
A001,42000,0.093860690505781
A001,42600,0.09320640134632188
A001,43200,0.09245784565413012
A001,43800,0.0916050674023926
A001,44400,0.09063811056429602
A001,45000,0.08954701911302722
A001,45600,0.08832183702177299
A001,46200,0.0869526082637201
A001,46800,0.0854293768120554
A001,47400,0.08374218663996563
A001,48000,0.08188108172063764
A001,48600,0.07983610602725817
A001,49200,0.07759730353301406
A001,49800,0.07515471821109204
A001,50400,0.072498394034679
A001,51000,0.06961837497696166
A001,51600,0.06650470501112685
A001,52200,0.06314742811036131
A001,52800,0.05953658824785194
A001,53400,0.05566222939678547
A001,54000,0.05151439553034866
A001,54600,0.04708313062172838
A001,55200,0.04235847864411138
A001,55800,0.03733048357068446
A001,56400,0.03198918937463444
A001,57000,0.026324640029148076
A001,57600,0.020326879507412174
A001,58200,0.013985951782613568
A001,58800,0.007291900827939006
A001,59400,0.0002347706165753069
A001,60000,-0.007195394878290733
A001,60600,-0.01500855168347233
A001,61200,-0.0232146558257827
A001,61800,-0.03173858198323897
A001,62400,-0.0401648794386741
A001,63000,-0.04799301612612497
A001,63600,-0.05472245997962852
A001,64200,-0.059852678933221604
A001,64800,-0.06288314092094112
A001,65400,-0.06351448970300674
A001,66000,-0.062252072344369254
A001,66600,-0.0598024117361622
A001,67200,-0.05687203076951912
A001,67800,-0.05416745233557357
A001,68400,-0.05239519932545908
A001,69000,-0.05207125153928058
A001,69600,-0.05294941641302841
A001,70200,-0.054592958291664315
A001,70800,-0.05656514152015003
A001,71400,-0.05842923044344728
A001,72000,-0.05974848940651778
A001,72600,-0.060160788573841044
A001,73200,-0.059602421387967626
A001,73800,-0.058084287110965874
A001,74400,-0.05561728500490409
A001,75000,-0.05221231433185063
A001,75600,-0.04788027435387382
A001,76200,-0.042641296298890186
A001,76800,-0.03655243925820906
A001,77400,-0.02967999428898799
A001,78000,-0.022090252448384504
A001,78600,-0.013849504793556143
A001,79200,-0.0050240423816604336
A001,79800,0.0042213527067114665
A001,80400,0.013327934297233942
A001,81000,0.021638465192147772
A001,81600,0.02849570819369373
A001,82200,0.033242426104112585
A001,82800,0.03522138172564513
A001,83400,0.03403835869808139
A001,84000,0.030351224011408613
A001,84600,0.02508086549316329
A001,85200,0.019148170970881912
A001,85800,0.01347402827210099
A001,86400,0.008979325224357015
A001,87000,0.006332190649362889
A001,87600,0.005189717345537068
A001,88200,0.004956239105474398
A001,88800,0.005036089721769732
A001,89400,0.004833602987017921
A001,90000,0.003753112693813813
A001,90600,0.0014055851404922227
A001,91200,-0.001771483351652187
A001,91800,-0.005133963955584785
A001,92400,-0.008037727844270946
A001,93000,-0.009838646190676044
A001,93600,-0.009892590167765449
A001,94200,-0.007775253721639042
A001,94800,-0.003941621890934771
A001,95400,0.0009334975125749128
A001,96000,0.006175296677117549
A001,96600,0.011108967790920691
A001,97200,0.015059703042211879
A001,97800,0.017534855244006733
A001,98400,0.018770419708473145
A001,99000,0.0191845523725671
A001,99600,0.019195409173244554
A001,100200,0.019221146047461495
A001,100800,0.019679918932173884
A001,101400,0.02084533334883909
A001,102000,0.022412793156920068
A001,102600,0.023933151800381157
A001,103200,0.0249572627231867
A001,103800,0.025035979369301048
A001,104400,0.02372015518268855
A001,105000,0.020677249984967106
A001,105600,0.016041149108368898
A001,106200,0.010062344262779663
A001,106800,0.002991327158085128
A001,107400,-0.004921410495828958
A001,108000,-0.013425376989076865
A001,108600,-0.022237261082260998
A001,109200,-0.030942473417936375
A001,109800,-0.03909360510914615
A001,110400,-0.04624324726893348
A001,111000,-0.051943991010341535
A001,111600,-0.05574842744641348
A001,112200,-0.05737625801373552
A001,112800,-0.057215625443066166
A001,113400,-0.055821782788706996
A001,114000,-0.05374998310495954
A001,114600,-0.0515554794461254
A001,115200,-0.04979352486650615
A001,115800,-0.04878886150023944
A001,116400,-0.047944187800807524
A001,117000,-0.046431691301528744
A001,117600,-0.04342355953572144
A001,118200,-0.038091980036703964
A001,118800,-0.02960914033779466
A001,119400,-0.017490517830852443
A001,120000,-0.0026247493418985026
A001,120600,0.013756238444505423
A001,121200,0.030420518843797567
A001,121800,0.04613616517141622
A001,122400,0.0596712507427996
A001,123000,0.07011337699804587
A001,123600,0.07782825787589269
A001,124200,0.08350113543973767
A001,124800,0.08781725175297837
A001,125400,0.09146184887901238
A001,126000,0.09512016888123725
A001,126600,0.09937664260965981
A001,127200,0.10441245606072366
A001,127800,0.11030798401748176
A001,128400,0.11714360126298692
A001,129000,0.12499968258029204
A001,129600,0.13395660275244997
A001,130200,0.143949401922674
A001,130800,0.15433178167481895
A001,131400,0.16431210895290013
A001,132000,0.17309875070093278
A001,132600,0.17990007386293216
A001,133200,0.1839244453829135
A001,133800,0.18465716323250247
A001,134400,0.1826912494937664
A001,135000,0.17889665727638296
A001,135600,0.17414333969002982
A001,136200,0.1693012498443848
A001,136800,0.16524034084912553
A001,137400,0.16276026355625098
A001,138000,0.1623794597870449
A001,138600,0.16454606910511238
A001,139200,0.16970823107405847
A001,139800,0.17831408525748815
A001,140400,0.1908117712190065
A001,141000,0.2072220049257791
A001,141600,0.225855807959214
A001,142200,0.24459677830427975
A001,142800,0.261328513945945
A001,143400,0.2739346128691782
A001,144000,0.28029867305894807
A001,144600,0.2790566013611027
A001,145200,0.27185354006500884
A001,145800,0.26108694032091273
A001,146400,0.24915425327906038
A001,147000,0.2384529300896982
A001,147600,0.23138042190307245
A001,148200,0.229633099997796
A001,148800,0.23210301616594864
A001,149400,0.23698114232797704
A001,150000,0.24245845040432756
