asset,range,pred_WTURPower
A001,3600,0.01825258073913913
A001,4200,0.014116569366678015
A001,4800,0.011056908061685192
A001,5400,0.008929846685682167
A001,6000,0.007591635100190456
A001,6600,0.00689852316673157
A001,7200,0.006706760746827023
A001,7800,0.006872597701998329
A001,8400,0.007252283893767001
A001,9000,0.0077020691836545505
A001,9600,0.008078203433182494
A001,10200,0.00823693650387234
A001,10800,0.008034518257245602
A001,11400,0.0073741963424838386
A001,12000,0.006347209559408759
A001,12600,0.005091794495502126
A001,13200,0.0037461877382456922
A001,13800,0.0024486258751212136
A001,14400,0.0013373454936104479
A001,15000,0.0005589227224774666
A001,15600,0.0002932918556156028
A001,16200,0.0007287267282005051
A001,16800,0.002053501175407822
A001,17400,0.004455889032413202
A001,18000,0.008124164134392294
A001,18600,0.01312312429650754
A001,19200,0.019023663253868568
A001,19800,0.025273198721571796
A001,20400,0.03131914841471364
A001,21000,0.036608930048390546
A001,21600,0.040589961337698904
A001,22200,0.04282389988932622
A001,22800,0.04332936287632424
A001,23400,0.042239207363335814
A001,24000,0.03968629041500374
A001,24600,0.03580346909597086
A001,25200,0.03072360047088
A001,25800,0.02463332689060696
A001,26400,0.017934431850959567
A001,27000,0.01108248413397861
A001,27600,0.004533052521704877
A001,28200,-0.0012582942038208346
A001,28800,-0.005835987260557728
A001,29400,-0.008818486357816844
A001,30000,-0.01012036517031658
A001,30600,-0.00973022586412716
A001,31200,-0.007636670605318821
A001,31800,-0.0038283015599617897
A001,32400,0.001706279105873702
A001,33000,0.008804619041768191
A001,33600,0.016608865159905273
A001,34200,0.02408731418811931
A001,34800,0.030208262854244664
A001,35400,0.03394000788611571
A001,36000,0.034250846011566805
A001,36600,0.03059403221571079
A001,37200,0.02436265451277447
A001,37800,0.01743475917426312
A001,38400,0.011688392471682005
A001,39000,0.009001600676536405
A001,39600,0.011252430060331605
A001,40200,0.019602332636932257
A001,40800,0.03234638338964053
A001,41400,0.04706306304411796
A001,42000,0.0613308523260261
A001,42600,0.07272823196102648
