asset,range,pred_WTURPower
A001,3600,0.22076233162606013
A001,4200,0.19237371811200785
A001,4800,0.1675570267113846
A001,5400,0.1462890293531639
A001,6000,0.1285464979663196
A001,6600,0.11430620447982527
A001,7200,0.10354492082265457
A001,7800,0.09623941892378121
A001,8400,0.09236647071217888
A001,9000,0.09190284811682124
A001,9600,0.09482532306668197
A001,10200,0.10111066749073472
A001,10800,0.11073565331795318
A001,11400,0.12345654097789907
A001,12000,0.13814754490248624
A001,12600,0.15346236802421662
A001,13200,0.16805471327559204
A001,13800,0.18057828358911446
A001,14400,0.18968678189728577
A001,15000,0.1945279516132342
A001,15600,0.1962256980725931
A001,16200,0.19639796709162224
A001,16800,0.19666270448658127
A001,17400,0.19863785607372997
A001,18000,0.20394136766932808
A001,18600,0.2136328186067232
A001,19200,0.22653832228761528
A001,19800,0.24092562563079217
A001,20400,0.2550624755550417
A001,21000,0.2672166189791518
A001,21600,0.27565580282191027
A001,22200,0.27938682433385265
A001,22800,0.2803726820925055
A001,23400,0.2813154250071432
A001,24000,0.28491710198703973
A001,24600,0.2938797619414696
A001,25200,0.3109054537797069
A001,25800,0.33779662251313103
A001,26400,0.3727572975615416
A001,27000,0.41309190444684335
A001,27600,0.456104868690941
A001,28200,0.4991006158157394
A001,28800,0.5393835713431432
A001,29400,0.575060333342642
A001,30000,0.6074461900740652
A001,30600,0.6386586023448276
A001,31200,0.6708150309623432
A001,31800,0.7060329367340267
A001,32400,0.7464297804672924
A001,33000,0.793136100107002
A001,33600,0.8433347421478083
A001,34200,0.8932216302218111
A001,34800,0.9389926879611102
A001,35400,0.9768438389978059
A001,36000,1.0029710069639979
A001,36600,1.0150831308093524
A001,37200,1.0169412107538014
A001,37800,1.0138192623348437
A001,38400,1.0109913010899765
A001,39000,1.0137313425566985
A001,39600,1.0273134022725081
A001,40200,1.0552152305995541
A001,40800,1.093729517198589
A001,41400,1.1373526865550159
A001,42000,1.180581163154238
A001,42600,1.2179113714816583
A001,43200,1.2438397360226805
A001,43800,1.2541843207440273
A001,44400,1.2500497475377026
A001,45000,1.2338622777770305
A001,45600,1.2080481728353347
A001,46200,1.1750336940859392
A001,46800,1.137245102902168
A001,47400,1.0966621757689028
A001,48000,1.0534787496172597
